bodyType,color,condition,drive,engineDisplacement,enginePower,equipment,fuelType,mileage,modelDate,name,numberOfDoors,owners,price,productionDate,rabber,technicalPassport,vehicleTransmission
2,1,2,2,2.0,184,1,2,9878,1,20i,5,2,2900000,1,0,1,1
1,1,2,1,1.6,170,1,2,130405,8,320i,4,3,825000,6,0,1,1
2,2,2,2,2.0,190,1,1,1100,2,20d,5,1,2901667,1,0,1,1
2,1,2,1,2.0,150,1,2,120000,7,18i,5,2,815000,6,1,1,1
2,1,2,2,3.0,306,1,2,220000,7,35i,5,2,1200000,7,0,1,1
2,2,2,2,2.0,192,1,2,119000,4,20i,5,2,1300000,4,0,1,1
1,1,2,1,2.0,190,3,1,98000,3,520d,4,1,1900009,2,0,1,1
2,6,2,2,3.0,218,1,1,340000,16,внедорожник,5,3,685000,14,0,1,1
2,3,2,2,3.0,264,1,2,255000,13,30i,5,2,740000,12,0,1,1
3,5,2,1,1.6,115,1,2,110000,12,116i,5,3,350000,11,0,1,1
1,1,2,1,2.0,245,1,2,252000,10,528i,4,3,890000,7,0,1,1
2,1,2,2,3.0,235,1,1,198790,13,30d,5,3,1069200,10,0,1,1
1,1,2,1,2.0,184,1,1,125000,6,520d,4,2,1250000,6,0,1,1
2,3,2,2,2.0,184,1,2,88150,7,20i,5,2,870000,7,0,1,1
2,3,2,2,2.0,184,1,2,88150,7,20i,5,2,870000,7,0,1,1
1,1,2,2,3.0,320,1,2,205000,7,740Li,4,1,1300000,6,0,1,1
1,1,2,2,4.4,450,1,2,122000,7,750Li,4,3,1070000,6,0,1,1
1,3,2,2,2.0,184,1,2,125000,8,320i,4,2,980000,5,0,1,1
2,6,2,2,3.0,264,1,2,49000,13,внедорожник,5,3,1099000,10,0,1,1
2,1,2,2,3.0,340,3,2,789,1,40i,5,1,6200000,0,0,1,1
1,3,2,1,4.9,400,1,2,213000,21,седан,4,3,1100000,20,1,1,2
1,1,2,1,3.0,306,1,1,134207,11,740d,4,3,1299000,8,0,1,1
1,14,2,1,2.2,170,1,2,410000,19,520i,4,3,270000,18,0,1,2
2,1,2,2,3.0,264,1,2,167000,13,30i,5,3,1100000,11,1,1,1
1,7,2,1,2.0,184,1,1,170000,10,520d,4,3,995000,8,0,1,1
2,1,2,2,3.0,245,1,1,218000,7,30d,5,1,1650000,6,0,1,1
3,6,2,2,2.0,249,1,2,49653,2,430i,5,2,2167000,2,0,1,1
1,2,2,1,2.0,184,1,2,129000,10,520i,4,3,899000,7,0,1,1
2,1,2,2,4.4,407,1,3,73000,12,ActiveHybrid,5,3,1250000,9,0,1,1
1,7,2,2,3.0,320,1,2,102000,8,640i,4,2,2050000,6,0,1,1
1,14,2,1,2.8,193,1,2,518000,24,528i,4,3,175000,21,0,1,1
2,1,2,2,3.0,381,1,1,114172,5,M50d,5,1,2790000,5,0,1,1
4,1,2,2,3.0,320,1,1,5979,1,840d,2,1,5612000,1,0,1,1
2,1,2,2,3.0,286,1,1,93000,12,35d,5,2,1450000,9,0,1,1
2,7,2,2,4.4,320,1,2,302000,16,внедорожник,5,3,370000,14,0,1,1
